"","Año","Clave_Ent","Entidad","Bien.jurídico.afectado","Tipo.de.delito","Subtipo.de.delito","Modalidad","Sexo","Rango.de.edad","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre"
"102",2019,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma blanca","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,1,0,0,1
"103",2019,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con otro elemento","Mujer","Menores de edad (0-17)",0,0,1,0,0,0,0,1,0,0,1,0
"104",2019,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","No especificado","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,0,0,0,0
"105",2019,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma de fuego","Mujer","Adultos (18 y más)",17,5,7,3,5,7,2,15,7,4,4,3
"106",2019,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma blanca","Mujer","Adultos (18 y más)",1,0,0,0,0,0,0,0,1,0,1,1
"107",2019,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con otro elemento","Mujer","Adultos (18 y más)",3,0,1,3,2,1,0,2,7,0,0,2
"108",2019,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","No especificado","Mujer","Adultos (18 y más)",0,1,2,3,0,0,1,0,1,0,2,2
"109",2019,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma de fuego","Mujer","Adultos (18 y más)",1,0,3,1,0,1,1,0,0,2,1,2
"110",2019,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma blanca","Mujer","Adultos (18 y más)",1,1,0,0,2,1,1,4,0,2,0,3
"111",2019,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con otro elemento","Mujer","Adultos (18 y más)",2,0,0,0,0,1,1,0,3,1,2,1
"112",2019,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","No especificado","Mujer","Adultos (18 y más)",0,0,0,0,0,0,0,0,1,1,0,0
"113",2019,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma de fuego","Mujer","No especificado",1,4,5,2,0,1,3,3,4,0,0,1
"114",2019,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma blanca","Mujer","No especificado",0,0,0,0,0,0,1,0,0,0,1,0
"115",2019,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con otro elemento","Mujer","No especificado",1,1,0,3,3,0,3,3,4,1,0,0
"116",2019,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","No especificado","Mujer","No especificado",3,3,0,3,4,7,8,0,5,0,7,2
"117",2019,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma de fuego","Mujer","No especificado",0,0,0,0,0,0,0,0,0,0,0,0
"118",2019,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma blanca","Mujer","No especificado",0,0,0,1,0,0,0,1,0,0,0,0
"119",2019,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con otro elemento","Mujer","No especificado",1,3,0,0,1,1,3,1,0,0,0,1
"120",2019,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","No especificado","Mujer","No especificado",0,3,1,0,1,0,0,0,0,0,1,0
"121",2020,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma de fuego","Mujer","Menores de edad (0-17)",1,0,0,0,0,0,1,2,0,1,0,0
"122",2020,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma blanca","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,0,0,0,0
"123",2020,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con otro elemento","Mujer","Menores de edad (0-17)",1,0,0,0,0,0,0,0,0,1,0,0
"124",2020,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","No especificado","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,1,0,1,0,0,0
"125",2020,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma de fuego","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,1,0,0,0,0,0
"126",2020,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma blanca","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,0,0,0,0
"127",2020,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con otro elemento","Mujer","Menores de edad (0-17)",0,0,2,1,0,0,0,0,0,0,1,1
"128",2020,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","No especificado","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,0,0,0,1
"129",2020,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma de fuego","Mujer","Adultos (18 y más)",11,10,8,7,7,8,7,9,8,7,6,4
