"","fecha","zona","sexo","registro","mes","año","month"
"266",2020-05-28,"AVGM","Mujeres",28,"2020-05","2020","Mayo"
"267",2020-05-28,"Estado de Jalisco","Mujeres",40,"2020-05","2020","Mayo"
"268",2020-05-29,"Puerto Vallarta","Mujeres",1,"2020-05","2020","Mayo"
"269",2020-05-29,"AVGM","Mujeres",26,"2020-05","2020","Mayo"
"270",2020-05-29,"Estado de Jalisco","Mujeres",34,"2020-05","2020","Mayo"
"271",2020-05-30,"Puerto Vallarta","Mujeres",1,"2020-05","2020","Mayo"
"272",2020-05-30,"Estado de Jalisco","Mujeres",16,"2020-05","2020","Mayo"
"273",2020-05-30,"AVGM","Mujeres",12,"2020-05","2020","Mayo"
"274",2020-05-31,"Estado de Jalisco","Mujeres",19,"2020-05","2020","Mayo"
"275",2020-05-31,"AVGM","Mujeres",16,"2020-05","2020","Mayo"
"276",2020-05-31,"Puerto Vallarta","Mujeres",1,"2020-05","2020","Mayo"
"277",2020-06-01,"Puerto Vallarta","Mujeres",1,"2020-06","2020","Junio"
"278",2020-06-01,"AVGM","Mujeres",37,"2020-06","2020","Junio"
"279",2020-06-01,"Estado de Jalisco","Mujeres",52,"2020-06","2020","Junio"
"280",2020-06-02,"Puerto Vallarta","Mujeres",6,"2020-06","2020","Junio"
"281",2020-06-02,"AVGM","Mujeres",30,"2020-06","2020","Junio"
"282",2020-06-02,"Estado de Jalisco","Mujeres",44,"2020-06","2020","Junio"
"283",2020-06-03,"Puerto Vallarta","Mujeres",2,"2020-06","2020","Junio"
"284",2020-06-03,"Estado de Jalisco","Mujeres",46,"2020-06","2020","Junio"
"285",2020-06-03,"AVGM","Mujeres",34,"2020-06","2020","Junio"
"286",2020-06-04,"Estado de Jalisco","Mujeres",37,"2020-06","2020","Junio"
"287",2020-06-04,"AVGM","Mujeres",26,"2020-06","2020","Junio"
"288",2020-06-04,"Puerto Vallarta","Mujeres",3,"2020-06","2020","Junio"
"289",2020-06-05,"Puerto Vallarta","Mujeres",2,"2020-06","2020","Junio"
"290",2020-06-05,"Estado de Jalisco","Mujeres",59,"2020-06","2020","Junio"
"291",2020-06-05,"AVGM","Mujeres",50,"2020-06","2020","Junio"
